#p()	at() (ns)	has() (ns)	insert(), at(), remove() (ns)	median()	size_of()	at() (ns)	has() (ns)	insert(), at(), remove() (ns)	median()	size_of()
#p()	perf_single_at_middle()	perf_single_has_middle()	perf_single_ins_at_rem_middle()	perf_1m_median_values()	size_of()	perf_single_at_middle()	perf_single_has_middle()	perf_single_ins_at_rem_middle()	perf_1m_median_values()
0.0625	483407	703723	2703940	0.814323	7.14	5.942	4.138	2.534	0.926
0.125	490776	687440	2717240	0.694096	7.31	6.032	4.042	2.546	0.790
0.25	221572	337799	1601440	0.721708	7.78	2.723	1.986	1.501	0.821
0.375	134266	233850	1168930	0.790525	8.474	1.650	1.375	1.095	0.899
0.4375	140198	240325	1237320	0.833939	8.949	1.723	1.413	1.160	0.949
0.5	81358	170057	1067050	0.879129	9.56	1.000	1.000	1.000	1.000
0.75	114630	288383	1602090	1.319	15.21	1.409	1.696	1.501	1.500
0.875	146033	510004	2634010	1.75608	26.76	1.795	2.999	2.468	1.998
0.9375	210257	904549	4670880	3.21819		2.584	5.319	4.377	3.661

