# Raw times
# Rows        p=1      p=2      p=3      p=4      p=5      p=6      p=7      p=8      p=9     p=10     p=11     p=12     p=13     p=14     p=15     p=16
64          0.300    0.327    0.331    0.342    0.381    0.431    0.460    0.507    0.580    0.645    0.708    0.878    1.003    1.113    1.189    1.241
128         0.341    0.340    0.339    0.347    0.416    0.461    0.527    0.582    0.686    0.764    0.865    0.923    1.013    1.034    1.116    1.225
256         0.358    0.360    0.351    0.359    0.412    0.475    0.533    0.581    0.685    0.764    0.866    0.924    0.992    1.156    1.231    1.241
512         0.360    0.354    0.365    0.466    0.440    0.478    0.534    0.598    0.685    0.759    0.847    0.915    1.002    1.051    1.184    1.228
1024        0.501    0.400    0.398    0.399    0.446    0.490    0.536    0.601    0.694    0.767    0.841    0.941    1.004    1.054    1.177    1.264
2048        0.437    0.398    0.388    0.396    0.445    0.495    0.570    0.600    0.712    0.781    0.871    0.986    1.055    1.107    1.148    1.270
4096        0.461    0.418    0.410    0.419    0.470    0.507    0.560    0.609    0.702    0.789    0.895    0.991    1.083    1.137    1.175    1.267
8192        0.603    0.467    0.447    0.454    0.498    0.538    0.582    0.643    0.738    0.846    0.953    1.009    1.062    1.132    1.209    1.308
16384       0.766    0.539    0.512    0.504    0.556    0.583    0.646    0.780    0.820    0.917    0.986    1.060    1.106    1.167    1.254    1.337
32768       1.170    0.714    0.638    0.616    0.665    0.677    0.780    0.807    0.922    1.013    1.126    1.123    1.260    1.322    1.343    1.402
65536       1.876    1.085    0.916    0.803    0.895    0.918    1.032    1.015    1.108    1.183    1.327    1.389    1.430    1.591    1.620    1.592
131072      3.299    1.798    1.487    1.255    1.442    1.410    1.506    1.457    1.496    1.615    1.753    1.790    1.891    2.017    2.202    2.026
262144      6.220    3.397    2.637    2.159    2.580    2.237    2.465    2.197    2.412    2.441    2.674    2.628    2.851    3.015    3.145    2.831
524288     11.911    6.218    5.094    4.136    4.590    3.963    4.404    3.883    4.136    4.195    4.414    4.505    4.744    4.899    5.057    4.585
1048576    23.067   12.093   10.150    7.919    8.634    7.468    8.282    7.385    7.815    8.450    7.763    7.866    8.279    8.619    8.963    7.949
2097152    45.302   24.061   19.656   15.304   16.827   15.008   15.820   14.273   14.428   14.612   14.777   14.959   15.475   16.250   16.794   14.793
4194304    93.590   49.201   39.342   30.334   33.098   29.972   31.036   28.057   28.084   28.421   28.883   29.306   30.196   31.294   32.761   28.706
8388608   183.238   99.089   77.496   58.842   65.849   57.448   61.045   56.122   56.087   56.643   56.662   57.098   59.523   61.895   65.443   57.613
