#Length	Size <double> (bytes)	Bytes/Node <double>	Factor <double>	Size <char> (bytes)	Factor <char>
1	216	216	27	216	216
2	288	144	18	288	144
4	320	80	10	320	80
8	800	100	12.5	800	100
16	1376	86	10.75	1376	86
32	2448	76.5	9.562	2448	76.5
64	5040	78.75	9.844	5040	78.75
128	10256	80.12	10.02	10256	80.12
256	19888	77.69	9.711	19888	77.69
512	39424	77	9.625	39424	77
1024	79408	77.55	9.693	79408	77.55
2048	155360	75.86	9.482	155360	75.86
4096	313504	76.54	9.567	313504	76.54
8192	628736	76.75	9.594	628736	76.75
16384	1246704	76.09	9.512	1246704	76.09
32768	2499616	76.28	9.535	2499616	76.28
65536	5008208	76.42	9.552	5008208	76.42
131072	10048320	76.66	9.583	10048320	76.66
262144	20047616	76.48	9.559	20047616	76.48
524288	40076688	76.44	9.555	40076688	76.44
1048576	80223648	76.51	9.563	80223648	76.51

