#Skip list length	Time for insert(), remove() (ns)	Rate for insert(), remove() (/s)
2	427.229	2340670
3	440.183	2271780
5	469.575	2129590
9	545.473	1833270
17	549.749	1819010
33	566.655	1764740
65	536.829	1862790
129	533.339	1874980
257	707.718	1412990
513	798.305	1252650
1025	807.527	1238350
2049	738.25	1354550
4097	773.341	1293090
8193	701.74	1425030
16385	689.011	1451360
32769	953.89	1048340
65537	701.155	1426220
131073	701.554	1425410
262145	1131.15	884057
524289	1064.76	939182
1048577	1055.33	947570
