# Raw times
# Rows        p=1      p=2      p=3      p=4      p=5      p=6      p=7      p=8      p=9     p=10     p=11     p=12     p=13     p=14     p=15     p=16
64          0.328    0.311    0.317    0.336    0.385    0.434    0.447    0.655    0.594    0.640    0.713    0.957    1.120    1.216    1.230    1.240
128         0.351    0.349    0.345    0.359    0.411    0.477    0.524    0.601    0.696    0.762    0.927    0.958    0.965    1.028    1.155    1.262
256         0.341    0.345    0.355    0.363    0.416    0.469    0.557    0.636    0.729    0.796    0.885    1.043    1.028    1.074    1.174    1.233
512         0.353    0.352    0.493    0.384    0.436    0.498    0.539    0.659    0.812    0.906    1.009    0.996    1.052    1.107    1.178    1.236
1024        0.375    0.362    0.368    0.377    0.435    0.473    0.529    0.627    0.720    0.798    0.860    0.976    1.003    1.070    1.163    1.282
2048        0.395    0.385    0.378    0.382    0.445    0.483    0.527    0.616    0.699    0.808    0.874    0.944    1.008    1.108    1.144    1.305
4096        0.445    0.417    0.400    0.406    0.451    0.499    0.553    0.617    0.706    0.807    0.890    0.965    1.022    1.139    1.149    1.265
8192        0.538    0.450    0.436    0.433    0.483    0.524    0.585    0.636    0.725    0.862    0.907    0.987    1.031    1.131    1.176    1.292
16384       0.723    0.534    0.491    0.480    0.535    0.586    0.643    0.684    0.784    0.885    0.961    1.022    1.075    1.134    1.255    1.346
32768       1.050    0.690    0.625    0.572    0.635    0.688    0.757    0.797    0.927    0.986    1.041    1.219    1.309    1.302    1.379    1.377
65536       1.741    1.054    0.869    0.750    0.877    0.991    1.041    1.061    1.081    1.165    1.237    1.336    1.422    1.508    1.709    1.520
131072      3.058    1.691    1.374    1.139    1.445    1.352    1.440    1.386    1.432    1.549    1.687    1.737    1.859    1.992    2.171    1.912
262144      5.652    3.105    2.449    2.043    2.423    2.111    2.333    2.098    2.270    2.315    2.451    2.513    2.689    2.895    2.982    2.756
524288     10.815    5.752    4.771    3.763    4.321    3.684    4.096    3.639    3.893    4.097    4.068    4.107    4.409    5.023    4.778    4.656
1048576    22.049   10.991    9.356    7.089    8.023    7.042    7.566    6.841    7.016    7.156    7.432    7.602    7.694    8.071    8.611    7.780
