# Speedup factor over a single process.
# Rows        p=1      p=2      p=3      p=4      p=5      p=6      p=7      p=8      p=9     p=10     p=11     p=12     p=13     p=14     p=15     p=16
64          1.000    1.052    1.034    0.974    0.851    0.755    0.732    0.500    0.551    0.512    0.460    0.342    0.292    0.269    0.266    0.264
128         1.000    1.004    1.016    0.977    0.854    0.735    0.669    0.584    0.504    0.460    0.378    0.366    0.363    0.341    0.304    0.278
256         1.000    0.990    0.963    0.940    0.821    0.728    0.613    0.537    0.468    0.429    0.386    0.327    0.332    0.318    0.291    0.277
512         1.000    1.001    0.715    0.919    0.809    0.708    0.654    0.535    0.434    0.389    0.349    0.354    0.335    0.319    0.299    0.285
1024        1.000    1.037    1.021    0.995    0.863    0.793    0.710    0.599    0.521    0.470    0.437    0.385    0.374    0.351    0.323    0.293
2048        1.000    1.028    1.047    1.034    0.889    0.819    0.750    0.642    0.566    0.489    0.452    0.419    0.392    0.357    0.346    0.303
4096        1.000    1.067    1.111    1.095    0.986    0.892    0.804    0.721    0.630    0.551    0.500    0.461    0.435    0.390    0.387    0.352
8192        1.000    1.195    1.233    1.240    1.113    1.026    0.919    0.846    0.742    0.624    0.593    0.545    0.521    0.475    0.457    0.416
16384       1.000    1.353    1.471    1.506    1.351    1.234    1.124    1.056    0.922    0.817    0.753    0.707    0.672    0.637    0.576    0.537
32768       1.000    1.521    1.680    1.836    1.654    1.526    1.388    1.318    1.134    1.065    1.009    0.862    0.803    0.807    0.761    0.763
65536       1.000    1.652    2.002    2.320    1.984    1.756    1.672    1.641    1.610    1.495    1.407    1.302    1.224    1.154    1.019    1.145
131072      1.000    1.808    2.226    2.686    2.116    2.262    2.124    2.206    2.135    1.974    1.813    1.760    1.644    1.535    1.409    1.600
262144      1.000    1.820    2.308    2.767    2.332    2.677    2.423    2.694    2.490    2.441    2.306    2.249    2.102    1.952    1.895    2.051
524288      1.000    1.880    2.267    2.874    2.503    2.936    2.641    2.972    2.778    2.640    2.659    2.633    2.453    2.153    2.264    2.323
1048576     1.000    2.006    2.357    3.110    2.748    3.131    2.914    3.223    3.142    3.081    2.967    2.900    2.866    2.732    2.561    2.834
